Year,Manufacturer,Fuel Type,Number of vehicles,OBFCM Fuel consumption (l/100 km),WLTP Fuel consumption (l/100 km),absolute gap Fuel consumption (l/100 km),percentage gap Fuel consumption (%),OBFCM CO2 emissions (g/km),WLTP CO2 emissions (g/km),absolute gap CO2 emissions (g/km),percentage gap CO2 emissions (%),OBFCM Fuel consumption weighted (l/100 km),WLTP Fuel consumption weighted (l/100 km),absolute gap Fuel consumption weighted (l/100 km),percentage gap Fuel consumption weighted (%),OBFCM CO2 emissions weighted (g/km),WLTP CO2 emissions weighted (g/km),absolute gap CO2 emissions weighted (g/km),percentage gap CO2 emissions weighted (%)
2021,KIA SLOVAKIA,PETROL,11257,7.65,6.47,1.18,18.27,174.28,147.35,26.93,18.27,7.57,6.45,1.12,17.39,172.48,146.93,25.55,17.39
2022,AUDI AG,DIESEL,15821,7.01,5.91,1.1,18.52,184.4,155.58,28.82,18.52,6.86,5.88,0.97,16.57,180.42,154.78,25.64,16.57
2021,PSA,PETROL,11071,6.76,5.59,1.17,20.9,153.91,127.3,26.61,20.9,6.67,5.6,1.07,19.18,151.99,127.53,24.46,19.18
2022,AUDI AG,PETROL/ELECTRIC,395,6.42,1.63,4.79,292.82,146.26,37.23,109.03,292.82,6.73,1.65,5.09,308.99,153.41,37.51,115.9,308.99
2021,BMW AG,PETROL,70090,8.54,6.86,1.68,24.45,194.53,156.31,38.21,24.45,8.52,6.94,1.57,22.64,194.03,158.2,35.82,22.64
2022,MAZDA,DIESEL,375,6.87,5.96,0.91,15.2,180.71,156.87,23.84,15.2,6.71,5.96,0.75,12.52,176.44,156.8,19.64,12.52
2021,SAIC MOTOR CORPORATION,PETROL/ELECTRIC,2782,6.56,1.8,4.76,264.41,149.41,41,108.41,264.41,6.66,1.8,4.86,270.12,151.75,41,110.75,270.12
2021,PORSCHE,PETROL,8770,12.85,11,1.84,16.77,292.7,250.67,42.03,16.77,12.44,11,1.44,13.04,283.32,250.63,32.69,13.04
2021,AUTOMOBILES PEUGEOT,PETROL,14511,7.19,6.05,1.15,18.97,163.83,137.71,26.12,18.97,7.27,6.16,1.11,18.09,165.66,140.28,25.38,18.09
2022,CHRYSLER,PETROL/ELECTRIC,1512,7.3,2.52,4.78,189.58,166.21,57.4,108.81,189.58,7.66,2.56,5.09,198.71,174.41,58.39,116.02,198.71
2021,AUDI AG,PETROL,22656,8.08,6.77,1.31,19.32,184.09,154.29,29.8,19.32,7.98,6.84,1.14,16.65,181.77,155.82,25.95,16.65
