Year,Manufacturer,Fuel Type,Number of vehicles,OBFCM Fuel consumption (l/100 km),WLTP Fuel consumption (l/100 km),absolute gap Fuel consumption (l/100 km),percentage gap Fuel consumption (%),OBFCM CO2 emissions (g/km),WLTP CO2 emissions (g/km),absolute gap CO2 emissions (g/km),percentage gap CO2 emissions (%),OBFCM Fuel consumption weighted (l/100 km),WLTP Fuel consumption weighted (l/100 km),absolute gap Fuel consumption weighted (l/100 km),percentage gap Fuel consumption weighted (%),OBFCM CO2 emissions weighted (g/km),WLTP CO2 emissions weighted (g/km),absolute gap CO2 emissions weighted (g/km),percentage gap CO2 emissions weighted (%)
2021,AUTOMOBILES CITROEN,DIESEL,732,6.79,5.85,0.94,16.12,178.71,153.91,24.81,16.12,6.21,5.29,0.92,17.42,163.37,139.13,24.24,17.42
2021,FIAT GROUP,PETROL/ELECTRIC,22,5.87,1.98,3.89,196.96,133.63,45,88.63,196.96,5.78,1.98,3.81,192.66,131.7,45,86.7,192.66
2021,IVECO,DIESEL,10,11.32,10.58,0.74,7.01,297.92,278.4,19.52,7.01,11.15,10.33,0.82,7.94,293.3,271.72,21.58,7.94
2021,KIA,DIESEL,21,5.46,5.68,-0.22,-3.83,143.66,149.38,-5.72,-3.83,5.19,5.69,-0.5,-8.77,136.47,149.59,-13.13,-8.77
2022,NISSAN AUTOMOTIVE EUROPE,PETROL,83,8.46,6.3,2.16,34.25,192.7,143.54,49.16,34.25,8.17,6.32,1.85,29.35,186.21,143.96,42.25,29.35
2021,SAIC MOTOR CORPORATION,PETROL/ELECTRIC,1,7.84,1.89,5.95,315.35,178.6,43,135.6,315.35,7.84,1.89,5.95,315.35,178.6,43,135.6,315.35
2022,SEAT,PETROL,4,8.61,6.74,1.88,27.83,196.22,153.5,42.72,27.83,8.78,7.53,1.25,16.57,199.95,171.53,28.42,16.57
2022,SKODA,DIESEL,17,6.35,5.33,1.02,19.09,166.94,140.18,26.76,19.09,6.46,5.38,1.08,20.11,170.03,141.56,28.47,20.11
2022,TOYOTA,DIESEL,762,9.34,8.54,0.8,9.38,245.67,224.61,21.06,9.38,9.41,8.71,0.71,8.1,247.67,229.11,18.56,8.1
2021,VOLKSWAGEN,PETROL,240,7.88,6.48,1.4,21.59,179.53,147.65,31.87,21.59,7.43,6.43,1,15.59,169.21,146.39,22.82,15.59
2022,VOLVO,PETROL/ELECTRIC,48,5.81,2.12,3.69,174.04,132.28,48.27,84.01,174.04,6.33,2.11,4.22,200.01,144.24,48.08,96.16,200.01
2021,ALFA ROMEO,DIESEL,211,7.29,5.58,1.71,30.57,191.78,146.88,44.9,30.57,7.2,5.58,1.62,29.11,189.53,146.8,42.73,29.11
2021,AUDI AG,DIESEL,4,6.75,6.96,-0.2,-2.89,177.71,183,-5.29,-2.89,6.83,7.22,-0.38,-5.33,179.77,189.89,-10.12,-5.33
2022,AUDI AG,PETROL,1,6.56,6.1,0.46,7.56,149.5,139,10.5,7.56,6.56,6.1,0.46,7.56,149.5,139,10.5,7.56
2021,DACIA,PETROL,28,7.03,5.28,1.75,33.19,160.25,120.32,39.93,33.19,6.89,5.27,1.62,30.72,157.02,120.12,36.9,30.72
2022,FORD WERKE GMBH,DIESEL,26425,8.58,7.56,1.02,13.47,225.65,198.86,26.78,13.47,8.58,7.57,1.01,13.28,225.72,199.26,26.46,13.28
2022,ISUZU,DIESEL,18,10.35,9.71,0.64,6.62,272.31,255.39,16.92,6.62,10.42,9.5,0.92,9.64,274.19,250.07,24.11,9.64
2021,JAGUAR LAND ROVER LIMITED,DIESEL,11,8.64,7.82,0.82,10.45,227.23,205.73,21.5,10.45,8.35,7.56,0.79,10.46,219.72,198.92,20.8,10.46
2022,MERCEDES-BENZ AG,PETROL,74,8.39,6.78,1.61,23.83,191.13,154.35,36.78,23.83,8.33,6.77,1.56,23,189.82,154.32,35.49,23
2022,NISSAN AUTOMOTIVE EUROPE,DIESEL,31,10.51,9.16,1.36,14.8,276.56,240.9,35.66,14.8,9.15,9.17,-0.02,-0.2,240.78,241.26,-0.47,-0.2
2022,RENAULT TRUCKS,DIESEL,31,11.37,9.14,2.24,24.46,299.24,240.42,58.82,24.46,11.15,9.12,2.03,22.23,293.33,239.98,53.35,22.23
2021,SUZUKI MOTOR CORPORATION,PETROL,800,7.4,7.59,-0.19,-2.53,168.62,173,-4.38,-2.53,7.33,7.59,-0.26,-3.47,166.99,173,-6.01,-3.47
2021,AUTOMOBILES CITROEN,PETROL,42,6.47,5.47,1,18.24,147.38,124.64,22.73,18.24,6.4,5.5,0.9,16.45,145.87,125.26,20.61,16.45
2021,AUTOMOBILES PEUGEOT,PETROL/ELECTRIC,7,6.36,1.35,5.01,371.78,144.9,30.71,114.19,371.78,6.19,1.34,4.85,361.7,140.99,30.54,110.45,361.7
2022,CHRYSLER,DIESEL,400,10.11,8.58,1.53,17.84,266.05,225.77,40.29,17.84,9.23,8.09,1.15,14.21,242.95,212.72,30.23,14.21
2021,FIAT GROUP,DIESEL,422,6.5,5.15,1.35,26.13,170.95,135.53,35.42,26.13,6.27,5.14,1.13,22.05,165.04,135.22,29.82,22.05
2022,FORD MOTOR AUSTRALIA,DIESEL,12777,10.65,9.52,1.13,11.85,280.09,250.42,29.67,11.85,10.53,9.53,1,10.54,277.04,250.63,26.41,10.54
2021,KIA,PETROL,26,5.65,4.96,0.69,13.98,128.8,113,15.8,13.98,5.7,4.99,0.71,14.29,129.79,113.56,16.23,14.29
2021,MAN,DIESEL,218,10.69,9.78,0.91,9.28,281.17,257.3,23.87,9.28,10.44,9.72,0.73,7.47,274.76,255.67,19.09,7.47
2022,MERCEDES-BENZ AG,DIESEL/ELECTRIC,2,6.93,1.33,5.6,420.7,182.24,35,147.24,420.7,6.67,0.97,5.7,586,175.49,25.58,149.91,586
2022,OPEL AUTOMOBILE,DIESEL,283,6.17,5.39,0.79,14.65,162.46,141.7,20.76,14.65,6.18,5.36,0.81,15.15,162.52,141.14,21.38,15.15
2021,RENAULT,DIESEL,464,6.94,5.7,1.24,21.72,182.56,149.98,32.57,21.72,6.55,5.45,1.1,20.14,172.31,143.43,28.88,20.14
2021,RENAULT,PETROL,88,7.62,5.66,1.96,34.66,173.7,128.99,44.71,34.66,7.23,5.56,1.67,29.96,164.68,126.71,37.97,29.96
2021,SKODA,DIESEL,3,6.73,6.04,0.69,11.36,177.06,159,18.06,11.36,6.66,6.04,0.62,10.25,175.3,159,16.3,10.25
2021,SKODA,PETROL,10,5.55,5.33,0.22,4.1,126.38,121.4,4.98,4.1,5.53,5.33,0.2,3.77,126.06,121.49,4.58,3.77
2022,STELLANTIS AUTO,DIESEL,239,6.12,5.44,0.68,12.5,160.91,143.03,17.88,12.5,6.24,5.41,0.83,15.28,164.08,142.34,21.75,15.28
2022,STELLANTIS AUTO,PETROL,16,7.54,6.73,0.81,12.09,171.85,153.31,18.53,12.09,7.46,6.62,0.83,12.58,169.85,150.87,18.98,12.58
2022,STELLANTIS EUROPE,PETROL,580,9.94,5.53,4.41,79.61,226.43,126.07,100.36,79.61,8.48,5.53,2.95,53.39,193.08,125.88,67.2,53.39
